Dataset,Resample,accuracy,balanced_accuracy,auroc,log_loss
SmoothSubspace,Resample_2,0.8666666666666667,0.8713339953657729,0.9589065312251213,0.40256981808637504
SmoothSubspace,Resample_3,0.88,0.878100831167164,0.9662868163839039,0.3847848201867769
SmoothSubspace,Resample_4,0.8466666666666667,0.8459597172202215,0.9632307497416408,0.389154493307463
SmoothSubspace,Resample_5,0.7866666666666666,0.7873786668817724,0.9430949746796542,0.4851151333941694
SmoothSubspace,Resample_6,0.8133333333333334,0.8088058938990615,0.9463324113787898,0.4433504864997292
SmoothSubspace,Resample_7,0.8333333333333334,0.8345588235294118,0.95020202020202,0.4432477653003148
SmoothSubspace,Resample_8,0.8266666666666667,0.8289241622574955,0.9328858024691359,0.4984256950562883
SmoothSubspace,Resample_9,0.8333333333333334,0.8358572245364698,0.9577674952941728,0.4231979208075196
SmoothSubspace,Resample_10,0.8266666666666667,0.8269979568477691,0.948369721920346,0.4641240885118613
SmoothSubspace,Resample_11,0.8466666666666667,0.8435554697678906,0.9599780784316867,0.37591510238442266
SmoothSubspace,Resample_12,0.8533333333333334,0.8549836601307189,0.9615191126955832,0.39542911306555234
SmoothSubspace,Resample_13,0.8133333333333334,0.8128723128723129,0.9443094328926539,0.4550488860796913
SmoothSubspace,Resample_14,0.8466666666666667,0.8505310792624404,0.9660802847400786,0.40688852087481014
SmoothSubspace,Resample_15,0.8133333333333334,0.8212532597024084,0.9358519257871482,0.49381755958139595
SmoothSubspace,Resample_16,0.86,0.8553359683794466,0.9577253131215394,0.41455759516114815
SmoothSubspace,Resample_17,0.82,0.8235785953177257,0.9416339612768183,0.45164694517174797
SmoothSubspace,Resample_18,0.8333333333333334,0.8395909645909646,0.9508055515350348,0.4659068623564017
SmoothSubspace,Resample_19,0.7533333333333333,0.75596894486534,0.9395757535705991,0.49120019345493027
SmoothSubspace,Resample_20,0.82,0.8220093615789219,0.9492636382327104,0.44452955732997945
SmoothSubspace,Resample_21,0.8466666666666667,0.8454997383568812,0.9643678857681687,0.38814700831825355
SmoothSubspace,Resample_22,0.7933333333333333,0.800592128178335,0.9413422016331827,0.4960921455657749
SmoothSubspace,Resample_23,0.8533333333333334,0.8533950617283951,0.9574714052287582,0.3952714070818543
SmoothSubspace,Resample_24,0.8133333333333334,0.8109166332128998,0.9540219130550829,0.44269219859724973
SmoothSubspace,Resample_25,0.7733333333333333,0.7642479213907786,0.9030247875851414,0.6074385783681491
SmoothSubspace,Resample_26,0.7933333333333333,0.7947752514187102,0.9373851855420913,0.4801267424173913
SmoothSubspace,Resample_27,0.8666666666666667,0.867857006475405,0.9665852983104081,0.39559393658581166
SmoothSubspace,Resample_28,0.7866666666666666,0.7869760941283538,0.9369732419094112,0.5165455018970041
SmoothSubspace,Resample_29,0.8533333333333334,0.8556376287970026,0.9562081740232876,0.42928230606784573
